Name,Year,Sex,Sport,NOC,Medal
Lars Sigurd Bjorkstrom,1980,M,Sailing,BRA,1
Nina Yuryevna Gopova-Trofimova,1980,F,Canoeing,URS,1
June Alexandra Croft,1980,F,Swimming,GBR,1
Trevor Martin Smith,1980,M,Swimming,GBR,1
Valentin Raychev,1980,M,Wrestling,BUL,1
Lars-Erik Skild,1980,M,Wrestling,SWE,1
Marian Dumitru,1980,M,Handball,ROU,1
Muhammad Shahid,1980,M,Hockey,IND,1
"Maxwell Raymond ""Max"" Metzker",1980,M,Swimming,AUS,1
Adolfo Horta Martnez,1980,M,Boxing,CUB,1
"Marcus Anthony ""Mark"" Kerry",1980,M,Swimming,AUS,2
Vakht'ang Blagidze,1980,M,Wrestling,URS,1
Oleksiy Stepanovych Barkalov,1980,M,Water Polo,URS,1
Aleksandar Tomov Lazarov,1980,M,Wrestling,BUL,1
Nedelcho Lazarov Kolev,1980,M,Weightlifting,BUL,1
Neculai Vasilca,1980,M,Handball,ROU,1
Marcos Pinto Rizzo Soares,1980,M,Sailing,BRA,1
Shota Dimit'ris dze Khabareli,1980,M,Judo,URS,1
Mria Zakaris,1980,F,Canoeing,HUN,1
Maureen Jean George,1980,F,Hockey,ZIM,1
Marco Solfrini,1980,M,Basketball,ITA,1
Marco Romano,1980,M,Fencing,ITA,1
Sigita Streen-Maeikait,1980,F,Handball,URS,1
Marcus Laborne Mattioli,1980,M,Swimming,BRA,1
Leonid Viktorovich Pavlovsky,1980,M,Hockey,URS,1
Adrian Cosma,1980,M,Handball,ROU,1
Kirsten Wenzel (-Strohbach),1980,F,Rowing,GDR,1
Marco Bonamico,1980,M,Basketball,ITA,1
Aleksandr Georgiyevich Baryshnikov,1980,M,Athletics,URS,1
Valery Georgiyevich Gazzayev,1980,M,Football,URS,1
Svetoslav Ivanov,1980,M,Equestrianism,BUL,1
Leonid Arkadyevich Taranenko,1980,M,Weightlifting,URS,1
Tsano Tsanov,1980,M,Volleyball,BUL,1
"Sharron Elizabeth Davies (-Crisp, -Redmond, -Kingston)",1980,F,Swimming,GBR,1
Tsendiin Damdin,1980,M,Judo,MGL,1
Olena Borysivna Teroshyna (Oviechkina-),1980,F,Rowing,URS,1
Matthias Wiegand,1980,M,Cycling,GDR,1
Matthias Mller,1980,M,Football,GDR,1
Matthias Liebers,1980,M,Football,GDR,1
Sven Vge Kenneth Johansson,1980,M,Shooting,SWE,1
Adrian Neil Adams,1980,M,Judo,GBR,1
"Marcus Lyndon ""Mark"" Tonelli (Leembruggen-)",1980,M,Swimming,AUS,1
Maurizio Damilano,1980,M,Athletics,ITA,1
"Margaret Mary ""Maggie"" Kelly-Hohmann",1980,F,Swimming,GBR,1
Larisa Mikhaylovna Savkina,1980,F,Handball,URS,1
Nermedin Selimov Hyuseinov,1980,M,Wrestling,BUL,1
Karl Ferstl,1980,M,Sailing,AUT,1
Manuel Mendvil Yocupicio,1980,M,Equestrianism,MEX,1
Maxi Gnauck,1980,F,Gymnastics,GDR,4
Norbert Nvnyi (Nottny),1980,M,Wrestling,HUN,1
"Kersten Neisser (-Kpke, -Kriesel)",1980,F,Rowing,GDR,1
Natella Arkhipovna Krasnikova,1980,F,Hockey,URS,1
Marek Seweryn,1980,M,Weightlifting,POL,1
Jutta Ploch (-Schenk),1980,F,Rowing,GDR,1
Jutta Lau,1980,F,Rowing,GDR,1
Mara Caridad Coln Ruees-Salazar,1980,F,Athletics,CUB,1
"Nellya Vladimirovna ""Nelli"" Kim (-Achasov)",1980,F,Gymnastics,URS,2
Juris Brzi,1980,M,Rowing,URS,1
Nelli Vissarionovna Gorbyatkova,1980,F,Hockey,URS,1
Nelli Vasilyevna Feryabnikova (Bilmayer-),1980,F,Basketball,URS,1
Jutta Kirst (Krautwurst-),1980,F,Athletics,GDR,1
Leszek Swornowski,1980,M,Fencing,POL,1
Larisa Aleksandrova-Popova,1980,F,Rowing,URS,1
"Leszek Ryszard ""Lech"" Dunecki",1980,M,Athletics,POL,1
Tibor Maracsk,1980,M,Modern Pentathlon,HUN,1
Aleksander Jan Cicho,1980,M,Wrestling,POL,1
Neil Brooks,1980,M,Swimming,AUS,1
Mauro Roman,1980,M,Equestrianism,ITA,1
Thierry Rey,1980,M,Judo,FRA,1
Tibor Kincses,1980,M,Judo,HUN,1
Lajos Rcz,1980,M,Wrestling,HUN,1
Valery Alekseyevich Dolinin,1980,M,Rowing,URS,1
Mauro Carlo Zuliani,1980,M,Athletics,ITA,1
Olaf Ludwig,1980,M,Cycling,GDR,1
Svetlana Anatolyevna Varganova,1980,F,Swimming,URS,1
Valeriy Mykhailovych Kryvov,1980,M,Volleyball,URS,1
"Magdolna ""Magda"" Maros",1980,F,Fencing,HUN,2
Michael Nikolay,1980,M,Gymnastics,GDR,2
Nataliya Gennadyevna Strunnikova,1980,F,Swimming,URS,1
Lyubomir Petrov,1980,M,Rowing,BUL,1
Adam Sandurski,1980,M,Wrestling,POL,1
Svetlana Anastasovski-Obuina,1980,F,Handball,YUG,1
Lyubomir Yankov Lyubenov,1980,M,Canoeing,BUL,2
Oleksandr Volodymyrovych Tkachenko,1980,M,Rowing,URS,1
Mykola Mykolaiovych Tomin,1980,M,Handball,URS,1
Vera urakovi,1980,F,Basketball,YUG,1
Olha Valentynivna Zubareva,1980,F,Handball,URS,1
Lina Kaiuyt,1980,F,Swimming,URS,1
Lyubov Vladimirovna Kozyreva (-Timofeyeva),1980,F,Volleyball,URS,1
Olga Germanovna Vasilchenko,1980,F,Rowing,URS,1
Lyudmila Alekseyevna Chernova (-Zenina),1980,F,Athletics,URS,1
Marta Urbanov (-Dahelov),1980,F,Hockey,TCH,1
Lyudmila Andreyevna Kondratyeva (-Sedykh),1980,F,Athletics,URS,1
"Michael Joseph ""Mike"" Sylvester",1980,M,Basketball,ITA,1
Lyudmila Georgiyevna Chernyshova (Prokoshina-),1980,F,Volleyball,URS,1
"Kvtoslava ""Kvta"" Petkov",1980,F,Hockey,TCH,1
Nina Anatolivna Ziuskova,1980,F,Athletics,URS,1
Aleksandr Olegovich Fedorovsky,1980,M,Swimming,URS,1
"Susanne Schultz Nielsson (-Feldsgaard, -Hansen)",1980,F,Swimming,DEN,1
Teodor ern,1980,M,Cycling,TCH,1
Adam Ryszard Robak,1980,M,Fencing,POL,1
Lyudmila Ilyinichna Zharkova-Maslakova,1980,F,Athletics,URS,1
Mykola Anatoliyovych Dovhan,1980,M,Rowing,URS,1
Olga Fyodorovna Barysheva-Korostelyova,1980,F,Basketball,URS,1
Lenka Vymazalov,1980,F,Hockey,TCH,1
Nataliya Ivanovna Kazak,1980,F,Rowing,URS,2
Aleksandr Nikolayevich Puchkov,1980,M,Athletics,URS,1
Valentina Aleksandrovna Zhulina (Yermakova-),1980,F,Rowing,URS,1
Alejandro Francisco Casaas Ramrez,1980,M,Athletics,CUB,1
Lyubcho Stefanov Dyakov,1980,M,Shooting,BUL,1
Aleksandr Fyodorovich Makarov,1980,M,Athletics,URS,1
Olha Iosypivna Pyvovarova,1980,F,Rowing,URS,1
Ute Kostrzewa (-Meyer),1980,F,Volleyball,GDR,1
Ute Hommola,1980,F,Athletics,GDR,1
Tefilo Stevenson Laurence,1980,M,Boxing,CUB,1
Valentina Ilieva (-Kharalampieva),1980,F,Volleyball,BUL,1
Linsey Tarrel MacDonald,1980,F,Athletics,GBR,1
Juan Lus Coghen Alberdingk-Thijm,1980,M,Hockey,ESP,1
Marlies Oelsner-Ghr,1980,F,Athletics,GDR,2
tefan Birtalan,1980,M,Handball,ROU,1
Ute Geweniger (-Strauss),1980,F,Swimming,GDR,2
Lutz Dombrowski,1980,M,Athletics,GDR,1
Tams Szombathelyi,1980,M,Modern Pentathlon,HUN,2
Lutz Helich,1980,M,Cycling,GDR,1
Verka Borisova (-Stoyanova),1980,F,Volleyball,BUL,1
Oleksandr Vasylovych Mantsevych,1980,M,Rowing,URS,1
Aldona esaityt-Nennien,1980,F,Handball,URS,1
Lutz Hoffmann,1980,M,Gymnastics,GDR,1
Katharina Bullin,1980,F,Volleyball,GDR,1
Adam Tomasiak,1980,M,Rowing,POL,1
Lutz Mack,1980,M,Gymnastics,GDR,1
Juan Pelln Fernndez-Fonteche,1980,M,Hockey,ESP,1
Kazimierz Wiesaw Szczerba,1980,M,Boxing,POL,1
Olga Leonidovna Sukharnova,1980,F,Basketball,URS,1
Ullrich Diener,1980,M,Rowing,GDR,1
Maricel Voinea,1980,M,Handball,ROU,1
Alejandro Abascal Garca,1980,M,Sailing,ESP,1
Linda Margaret Watson,1980,F,Hockey,ZIM,1
Tengiz Khubuluri,1980,M,Judo,URS,1
Aleksandr Fyodorovich Budnikov,1980,M,Sailing,URS,1
Tengiz Sulakvelidze,1980,M,Football,URS,1
Katharina Rensch (-Schirmer),1980,F,Gymnastics,GDR,1
Valery Vladimirovich Kleshnyov,1980,M,Rowing,URS,1
Karin Guthke (-Hrtig),1980,F,Diving,GDR,1
tefan Rusu,1980,M,Wrestling,ROU,1
Olga Anatolyevna Solovova (-Tseytsina),1980,F,Volleyball,URS,1
Martina Schmidt (-Schwarz),1980,F,Volleyball,GDR,1
Oldich Rott,1980,M,Football,TCH,1
Martina Schrter,1980,F,Rowing,GDR,1
Lidiya Timofeyevna Glubokova,1980,F,Hockey,URS,1
Mladen Venelinov Mladenov,1980,M,Wrestling,BUL,1
Olga Aleksandrovna Rukavishnikova,1980,F,Athletics,URS,1
Karla Roffeis (-Mgge),1980,F,Volleyball,GDR,1
Michael Anthony Parris,1980,M,Boxing,GUY,1
Lidiya Ivanovna Loginova,1980,F,Volleyball,URS,1
va Rakusz,1980,F,Canoeing,HUN,1
Svante Erik Rasmuson,1980,M,Modern Pentathlon,SWE,1
Nicolae Vasile Pop,1980,M,Volleyball,ROU,1
Vasyl Petrovych Yurchenko,1980,M,Canoeing,URS,1
Aleksandr Mikhaylovich Sychov,1980,M,Hockey,URS,1
Nicolae Munteanu,1980,M,Handball,ROU,1
Vasyl Albertovych Arkhypenko,1980,M,Athletics,URS,1
Karl-Heinz Lehmann,1980,M,Judo,GDR,1
Valery Yakovlevich Volkov,1980,M,Equestrianism,URS,1
Karl-Heinz Krger,1980,M,Boxing,GDR,1
Larysa Oleksandrivna Karlova,1980,F,Handball,URS,1
Valentin Silaghi,1980,M,Boxing,ROU,1
Tina Isabel Gustafsson,1980,F,Swimming,SWE,1
Marian Sypniewski,1980,M,Fencing,POL,1
Klaus Thiele,1980,M,Athletics,GDR,1
Libor Radimec,1980,M,Football,TCH,1
Marian Kozicki,1980,M,Equestrianism,POL,1
Valery Vladimirovich Miloserdov,1980,M,Basketball,URS,1
Marian Jerzy Woronin,1980,M,Athletics,POL,1
Aleksandr Ivanovich Myasnikov,1980,M,Hockey,URS,1
Valeriy Ivanovych Movchan,1980,M,Cycling,URS,1
Vera Yakovlevna Komisova (Nikitina-),1980,F,Athletics,URS,2
Martina Proeber (-Littmann),1980,F,Diving,GDR,1
Karola Sube (-Ziesche),1980,F,Gymnastics,GDR,1
Vera Vasilyevna Anisimova (Mikheyeva-),1980,F,Athletics,URS,1
Ulrich Karnatz,1980,M,Rowing,GDR,1
Urszula Kielan (-Lipiec),1980,F,Athletics,POL,1
Aleksandr Gennadyevich Krasnov,1980,M,Cycling,URS,1
Lyudmila Nikolayevna Rogozhina (-Muravyova),1980,F,Basketball,URS,1
Mitko Todorov,1980,M,Volleyball,BUL,1
Martin Patrick Cross,1980,M,Rowing,GBR,1
Martin Penc,1980,M,Cycling,TCH,1
Ulrich Kons,1980,M,Rowing,GDR,1
Mykhailo Oleksiyovych Ishchenko,1980,M,Handball,URS,1
Lyudmila Valeryevna Frolova,1980,F,Hockey,URS,1
Vasily Fyodorovich Yakusha,1980,M,Rowing,URS,1
Kaspar Simeonov,1980,M,Volleyball,BUL,1
Sybille Reinhardt (Tietze-),1980,F,Rowing,GDR,1
"Martina Jschke (-Scheidewig, -Flle)",1980,F,Diving,GDR,1
Aleksandr Nikolayevich Koshkin,1980,M,Boxing,URS,1
Nina Dmytrivna Umanets,1980,F,Rowing,URS,1
Aleksandr Nikolayevich Dityatin,1980,M,Gymnastics,URS,8
Karin Pschel (Kahlow-),1980,F,Volleyball,GDR,1
Nina Illivna Preobrazhenska (-Antoniuk),1980,F,Rowing,URS,1
Mariana Serbezova,1980,F,Rowing,BUL,1
Nataliya Leonidivna Sherstiuk-Tymoshkina,1980,F,Handball,URS,1
Nicuor Eanu,1980,M,Canoeing,ROU,1
Klaus-Dieter Ludwig,1980,M,Rowing,GDR,1
Martin Winter,1980,M,Rowing,GDR,1
Nina Nikolayevna Frolova,1980,F,Rowing,URS,1
Aleksandr Anatolyevich Romankov,1980,M,Fencing,URS,2
Martina Bischof (Fischer-),1980,F,Canoeing,GDR,1
Jrg Damme,1980,M,Shooting,GDR,1
"Martina Boesler (-Kirchner, -Wieduwilt)",1980,F,Rowing,GDR,1
Karin Metze (-Ulbricht),1980,F,Rowing,GDR,1
Mariya Dimitrova Vergova-Petkova,1980,F,Athletics,BUL,1
Yury Konstantinovich Kidyayev,1980,M,Handball,URS,1
Frantiek Kunzo,1980,M,Football,TCH,1
Grzegorz Nowak,1980,M,Rowing,POL,1
Arthur Mapp,1980,M,Judo,GBR,1
Rdiger Schnuphase,1980,M,Football,GDR,1
"Stylianos ""Stelios"" Mygiakis",1980,M,Wrestling,GRE,1
"James ""Jamie"" Wilkinson",1980,M,Sailing,IRL,1
Jaime Zumalacrregui Bentez,1980,M,Hockey,ESP,1
Dragan Kianovi,1980,M,Basketball,YUG,1
Arsens Miskarovs,1980,M,Swimming,URS,3
Aron Lars-Gran Carlsson,1980,M,Shooting,SWE,1
Jaime Arbs Serra,1980,M,Hockey,ESP,1
Pawe Skrzecz,1980,M,Boxing,POL,1
Wadysaw Stecyk,1980,M,Wrestling,POL,1
Wadysaw Kozakiewicz,1980,M,Athletics,POL,1
Draen Dalipagi,1980,M,Basketball,YUG,1
Robert Van de Walle,1980,M,Judo,BEL,1
Guillermo del Riego Gordn,1980,M,Canoeing,ESP,1
Philippe Pierre Bonnin,1980,M,Fencing,FRA,1
Sabirzhan Sabitovich Ruziyev,1980,M,Fencing,URS,1
Yelena Viktorovna Davydova (-Filatova),1980,F,Gymnastics,URS,3
Yelena Valentinovna Andreyuk (-Chesnokova),1980,F,Volleyball,URS,1
Sabine Rther (-Kirschke),1980,F,Handball,GDR,1
Vitaly Aleksandrovich Petrakov,1980,M,Cycling,URS,1
Yelena Rabigovna Akhaminova (-Sokolovskaya),1980,F,Volleyball,URS,1
Zinada Mykhailivna Turchyna (Stolitenko-),1980,F,Handball,URS,1
Gurmail Singh,1980,M,Hockey,IND,1
Jacek Roman Wszoa,1980,M,Athletics,POL,1
Jaak Uudme,1980,M,Athletics,URS,1
Grzegorz Jzef Stellak,1980,M,Rowing,POL,1
Vitaly Mikhaylovich Yeliseyev,1980,M,Rowing,URS,1
Charanjit Kumar,1980,M,Hockey,IND,1
Roberto Brunamonti,1980,M,Basketball,ITA,1
Yevgeny Konstantinovich Sharonov,1980,M,Water Polo,URS,1
Dzintars Krijnis,1980,M,Rowing,URS,1
Jan Dogowicz,1980,M,Wrestling,POL,1
Jan Berger,1980,M,Football,TCH,1
Yevgeny Borisovich Grishin,1980,M,Water Polo,URS,1
Jamtsyn Davaajav,1980,M,Wrestling,MGL,1
Dung Dung Sylvanus,1980,M,Hockey,IND,1
Duncan McDougall,1980,M,Rowing,GBR,1
Yevgeny Alekseyevich Seredin,1980,M,Swimming,URS,1
Roberto Tozzi,1980,M,Athletics,ITA,1
Yevgeny Aleksandrovich Barbakov,1980,M,Rowing,URS,1
Duncan Alexander Goodhew,1980,M,Swimming,GBR,2
Roberto Marcelo Castrillo Garca,1980,M,Shooting,CUB,1
Pierluigi Marzorati,1980,M,Basketball,ITA,1
Dumitru Velicu,1980,M,Equestrianism,ROU,1
Dumitru Cipere,1980,M,Boxing,ROU,1
Pavel Pavlov Strakhilov,1980,M,Wrestling,BUL,1
Dumitria Turner,1980,F,Gymnastics,ROU,1
Vira Antonivna Misevych,1980,F,Equestrianism,URS,1
Duko Mrdulja,1980,M,Rowing,YUG,1
"Dujam ""Duje"" Krstulovi",1980,M,Basketball,YUG,1
Dugarsrengiin Oyuunbold,1980,M,Wrestling,MGL,1
Cezar Drgni,1980,M,Handball,ROU,1
Rdiger Helm,1980,M,Canoeing,GDR,3
Pavel Serafimovich Lednyov,1980,M,Modern Pentathlon,URS,2
Duan Poliaik,1980,M,Weightlifting,TCH,1
Yury Viktorovich Barinov,1980,M,Cycling,URS,1
Robertas ulpa,1980,M,Swimming,URS,1
Gran Simon Marstrm,1980,M,Sailing,SWE,1
Donna-Marie Louise Murray-Hartley (-Wass),1980,F,Athletics,GBR,1
Ivo Rusev,1980,M,Rowing,BUL,1
Istvn Kovcs,1980,M,Wrestling,HUN,1
Gyrgy Szalai,1980,M,Weightlifting,HUN,1
Anatoly Vasilevich Starostin,1980,M,Modern Pentathlon,URS,2
Istvn Kiss,1980,M,Water Polo,HUN,1
Philippe Alain Boisse,1980,M,Fencing,FRA,1
Anatoly Nikolayevich Yarkin,1980,M,Cycling,URS,1
Istvn Jos,1980,M,Canoeing,HUN,1
Vyacheslav Mikhaylovich Chukanov,1980,M,Equestrianism,URS,1
"Sebastian Newbold ""Seb"" Coe",1980,M,Athletics,GBR,2
Per Anders Gustaf Holmertz,1980,M,Swimming,SWE,1
Sergey Vladimirovich Kopylov,1980,M,Cycling,URS,1
Anatoly Mikhaylovich Bykov,1980,M,Wrestling,URS,1
Zafar Iqbal,1980,M,Hockey,IND,1
Vyacheslav Georgiyevich Sobchenko,1980,M,Water Polo,URS,1
"Christiane Knacke (-Driesener, -Sommer)",1980,F,Swimming,GDR,1
Christiane Knetsch-Kpke,1980,F,Rowing,GDR,1
Vyacheslav Frolovich Lampeyev,1980,M,Hockey,URS,1
Christiane Stoll-Wartenberg,1980,F,Athletics,GDR,1
Vyacheslav Alekseyevich Zaytsev,1980,M,Volleyball,URS,1
Christina Brehmer-Lathan,1980,F,Athletics,GDR,2
Ismail Mustafov (-Ivaylo Marinov) Huseinov (-Khristov),1980,M,Boxing,BUL,1
Han Gyong-Si,1980,M,Weightlifting,PRK,1
Djan Garrido Madruga,1980,M,Swimming,BRA,1
Ismail Abilov (-Nizamolu),1980,M,Wrestling,BUL,1
Christina Rost (Mbert-),1980,F,Handball,GDR,1
Vukica Miti (-Pljaki),1980,F,Basketball,YUG,1
Iskra Velinova,1980,F,Rowing,BUL,1
Gyrgy Nbald,1980,M,Fencing,HUN,1
"Donald O'Reilly ""Don"" Quarrie",1980,M,Athletics,JAM,1
Istvn Lvai,1980,M,Boxing,HUN,1
Gyrgy Horkai,1980,M,Water Polo,HUN,1
Anatoly Viktorovich Fedyukin,1980,M,Handball,URS,1
Penka Metodieva,1980,F,Basketball,BUL,1
Iveta rankov (-Hritzov),1980,F,Hockey,TCH,1
Ivar Stukolkin,1980,M,Swimming,URS,2
Penka Stoyanova,1980,F,Basketball,BUL,1
Yelena Ivanovna Khloptseva,1980,F,Rowing,URS,1
Ivan Yankov Marinov,1980,M,Wrestling,BUL,1
"Regina Constance ""Reggie"" de Jong",1980,F,Swimming,NED,1
Ivan Patzaichin,1980,M,Canoeing,ROU,2
Ivan Manev,1980,M,Canoeing,BUL,1
Yelena Ilyinichna Guryeva,1980,F,Hockey,URS,1
Antoine Richard,1980,M,Athletics,FRA,1
Yelena Gennadyevna Matiyevskaya (-Bratishko),1980,F,Rowing,URS,1
Sonia Robertson (Chick-),1980,F,Hockey,ZIM,1
Yelena Dmitriyevna Novikova-Belova,1980,F,Fencing,URS,1
Dolores Zdravkova Nakova,1980,F,Rowing,BUL,1
Sergey Vladimirovich Kotenko,1980,M,Water Polo,URS,1
Yelena Arkadyevna Naimushina,1980,F,Gymnastics,URS,1
Istvn Vmos,1980,M,Gymnastics,HUN,1
Istvn Vaskuti,1980,M,Canoeing,HUN,1
Istvn Udvardi,1980,M,Water Polo,HUN,1
Istvn Tth,1980,M,Wrestling,HUN,1
"Istvn Szivs, Jr.",1980,M,Water Polo,HUN,1
Sonia May Lannaman (-Garmston),1980,F,Athletics,GBR,1
Gyrgy Gerends,1980,M,Water Polo,HUN,1
Istvn Szab,1980,M,Canoeing,HUN,1
Gyrgy Guczoghy,1980,M,Gymnastics,HUN,1
Philippe Claude Riboud,1980,M,Fencing,FRA,2
Christine Carmen Marie Muzio,1980,F,Fencing,FRA,1
Yevgeny Mikhaylovich Ivchenko,1980,M,Athletics,URS,1
Jan Kowalczyk,1980,M,Equestrianism,POL,2
Viktor Viktorovich Manakov,1980,M,Cycling,URS,1
Bruno Boscherie,1980,M,Fencing,FRA,1
Gerardo Tazzer Valencia,1980,M,Equestrianism,MEX,1
Gerd Wessig,1980,M,Athletics,GDR,1
Pietro Generali,1980,M,Basketball,ITA,1
Viktor Volodymyrovych Burakov,1980,M,Athletics,URS,1
aban Sejdi,1980,M,Wrestling,YUG,1
"Elizabeth ""Liz"" Chase",1980,F,Hockey,ZIM,1
Gerhard Petritsch,1980,M,Shooting,AUT,1
"Gerhardus Marinus Maria ""Gerard"" Nijboer",1980,M,Athletics,NED,1
Viktor Volodymyrovych Miroshnychenko,1980,M,Boxing,URS,1
Roland Wieser,1980,M,Athletics,GDR,1
Ratko Radovanovi,1980,M,Basketball,YUG,1
Gertrd Emilia Eberle (-Kollar),1980,F,Gymnastics,ROU,2
Jelica Komnenovi,1980,F,Basketball,YUG,1
Gertrd Stefanek,1980,F,Fencing,HUN,1
Ratko Rudi,1980,M,Water Polo,YUG,1
Paul Julian Marshall,1980,M,Swimming,GBR,1
Giancarlo Ferrari,1980,M,Archery,ITA,1
"Elisabeth ""Sissy"" Max-Theurer",1980,F,Equestrianism,AUT,1
"Sultanbai Saburovych ""Sultan"" Rakhmanov",1980,M,Weightlifting,URS,1
Roland Brckner,1980,M,Gymnastics,GDR,4
Ravdangiin Davaadalai,1980,M,Judo,MGL,1
Ravinder Pal Singh,1980,M,Hockey,IND,1
Stanislav Georgiyevich Yeryomin,1980,M,Basketball,URS,1
Alexandru Flker,1980,M,Handball,ROU,1
"Gillian ""Gill"" Cowley",1980,F,Hockey,ZIM,1
Jens Doberschtz,1980,M,Rowing,GDR,1
Yordan Angelov,1980,M,Volleyball,BUL,1
Gerald Mortag,1980,M,Cycling,GDR,1
Pietro Paolo Mennea,1980,M,Athletics,ITA,2
Sarina Hlsenbeck (-Fischer),1980,F,Swimming,GDR,2
Sofija Peki,1980,F,Basketball,YUG,1
Roman Biera,1980,M,Wrestling,POL,1
Emil Valchev,1980,M,Volleyball,BUL,1
Jess Gmez Portugal Montenegro,1980,M,Equestrianism,MEX,1
Viktor Pavlovich Makhorin,1980,M,Handball,URS,1
Andreas Knebel,1980,M,Athletics,GDR,1
Satymkul Dzhumanazarov,1980,M,Athletics,URS,1
Jerzy Rybicki,1980,M,Boxing,POL,1
Brigitte Fetzer (-Consuegra),1980,F,Volleyball,GDR,1
Brigitte Latrille-Gaudin,1980,F,Fencing,FRA,1
Viktor Petrovich Ugryumov,1980,M,Equestrianism,URS,2
"Brigitte Wujak (Knzel-, -Pretzschner)",1980,F,Athletics,GDR,1
Elvira Adolfovna Vasilkova (-Buchenkova),1980,F,Swimming,URS,2
Andreas Gregor,1980,M,Rowing,GDR,1
Andreas Decker,1980,M,Rowing,GDR,1
Andreas Bronst,1980,M,Gymnastics,GDR,1
"Andreas ""Traudl"" Trautmann",1980,M,Football,GDR,1
Andrea Pollack (-Pinske),1980,F,Swimming,GDR,2
Viktor Saneyev,1980,M,Athletics,URS,1
Viktor Sergeyevich Deputatov,1980,M,Hockey,URS,1
Georgi Gadzhev,1980,M,Equestrianism,BUL,1
Bronisaw Malinowski,1980,M,Athletics,POL,1
Georgi Petkov Raykov,1980,M,Wrestling,BUL,1
Zdenk reiner,1980,M,Football,TCH,1
Georgios Khatziioannidis,1980,M,Wrestling,GRE,1
Andrea Heim (-Markus),1980,F,Volleyball,GDR,1
Saypulla Atavovich Absaidov,1980,M,Wrestling,URS,1
Graeme Thomas Brewer,1980,M,Swimming,AUS,1
Roger Pyttel,1980,M,Swimming,GDR,2
Elena Dobrioiu (Radu-),1980,F,Rowing,ROU,1
Jang Se-Hong,1980,M,Wrestling,PRK,1
Artrs Garonskis,1980,M,Rowing,URS,1
Suleiman Nyambui,1980,M,Athletics,TAN,1
Carlos Armando Girn Gutirrez,1980,M,Diving,MEX,1
Eduardo Henrique Gomes Penido,1980,M,Sailing,BRA,1
Eduard Azaryan,1980,M,Gymnastics,URS,1
Carlos Roca Portols,1980,M,Hockey,ESP,1
Glenn Scott Patching,1980,M,Swimming,AUS,1
Rodica Dunca (-Kszegi),1980,F,Gymnastics,ROU,1
Anthea Dorine Stewart (Allin-),1980,F,Hockey,ZIM,1
Jana Lahodov (-Vudmaskov),1980,F,Hockey,TCH,1
Carmela Schmidt (-Ertel),1980,F,Swimming,GDR,3
Rodica Arba-Pucatu,1980,F,Rowing,ROU,1
Gnter Dreibrodt,1980,M,Handball,GDR,1
Edit Kovcs,1980,F,Fencing,HUN,1
Gnther Erich Enescu,1980,M,Volleyball,ROU,1
Walter Diener,1980,M,Rowing,GDR,1
Paulino Monsalve Ballesteros,1980,M,Hockey,ESP,1
Yevgeny Vasilyevich Chernyshov,1980,M,Handball,URS,1
"Anthony ""Tony"" Willis",1980,M,Boxing,GBR,1
Sorin Radu Macavei,1980,M,Volleyball,ROU,1
Yevgeny Nikolayevich Lipeyev,1980,M,Modern Pentathlon,URS,1
Anthony Charles D. Wiggin,1980,M,Rowing,GBR,1
Eckhard Leue,1980,M,Canoeing,GDR,1
Gottfried Dhn,1980,M,Rowing,GDR,1
Carsta Genu (-Khn),1980,F,Canoeing,GDR,1
Carsten Bunk,1980,M,Rowing,GDR,1
Gisela Medefindt (-Bodis),1980,F,Rowing,GDR,1
Zdenk Rygel,1980,M,Football,TCH,1
Annette Schultz (-Klatt),1980,F,Volleyball,GDR,1
Janusz Pawowski,1980,M,Judo,POL,1
Elena Bondar,1980,F,Rowing,ROU,1
Viljar Loor,1980,M,Volleyball,URS,1
Ashot Karagyan,1980,M,Fencing,URS,2
Zdenk Pecka,1980,M,Rowing,TCH,1
Ginka Gyurova,1980,F,Rowing,BUL,1
Stanislav Seman,1980,M,Football,TCH,1
Caren Metschuck (-Mahn),1980,F,Swimming,GDR,4
Alfio Peraboni,1980,M,Sailing,ITA,1
Giorgi Mshvenieradze,1980,M,Water Polo,URS,1
Saida Gunba (-Kikidze),1980,F,Athletics,URS,1
Annelies Maas (-Kraus),1980,F,Swimming,NED,1
Soslan Petrovich Andiyev,1980,M,Wrestling,URS,1
Giorgio Gorla,1980,M,Sailing,ITA,1
Egbert Swensson,1980,M,Sailing,GDR,1
Rustam Zaynullovich Yambulatov,1980,M,Shooting,URS,1
Javier Cabot Durn,1980,M,Hockey,ESP,1
Yury Terentyevich Lobanov,1980,M,Canoeing,URS,1
Asen Ivanov Zlatev,1980,M,Weightlifting,BUL,1
Sos Hayrapetyan,1980,M,Hockey,URS,1
Artur Ullrich,1980,M,Football,GDR,1
Somaya Muttana Maneypandey,1980,M,Hockey,IND,1
Jasna Kolar-Merdan,1980,F,Handball,YUG,1
Jasmina Perazi (-Gipe),1980,F,Basketball,YUG,1
Jarmila Krlkov,1980,F,Hockey,TCH,1
Jarmila Kratochvlov,1980,F,Athletics,TCH,1
Yury Vasilyevich Gavrilov,1980,M,Football,URS,1
Giovanni Scalzo,1980,M,Fencing,ITA,1
Janusz Bobik,1980,M,Equestrianism,POL,1
Philip Hubble,1980,M,Swimming,GBR,1
Isabelle Bori-Bgard,1980,F,Fencing,FRA,1
