Name,Year,Sex,Sport,NOC,Medal
Emmanuel Foulon,1900,M,Archery,BEL,1
Vladimir Atoff,1900,M,Rugby,FRA,1
Ramn Fonst Segundo,1900,M,Fencing,CUB,2
V. Smith,1900,M,Rugby,GBR,1
Ruurd Gerbens Leegstra,1900,M,Rowing,NED,1
Albert Michant,1900,M,Water Polo,BEL,1
Robert Gufflet,1900,M,Sailing,FRA,2
Ole stmo,1900,M,Shooting,NOR,4
Charles Marius Duma Adolphe Gondouin,1900,M,Tug-Of-War,FRA,1
L. Hood,1900,M,Rugby,GBR,1
Peter Kemp,1900,M,Water Polo,GBR,1
"Hugh Lawrence ""Laurie"" Doherty",1900,M,Tennis,GBR,3
Ole Andreas Sther,1900,M,Shooting,NOR,1
Hugo Adolf Betting,1900,M,Rugby,GER,1
Peter Kemp,1900,M,Swimming,GBR,1
Ernest Marie Eugne Adolphe Moreau de Melen,1900,M,Football,BEL,1
Charles Hugo,1900,M,Sailing,FRA,2
Erich Ludwig,1900,M,Rugby,GER,1
Albert Jean Louis Ayat,1900,M,Fencing,FRA,2
Charles Jean Baptiste Perrin,1900,M,Rowing,FRA,1
Eric Peter Hypolithe Thornton,1900,M,Football,GBR,1
Pesloy,1900,M,Water Polo,FRA,1
Charles Marius Duma Adolphe Gondouin,1900,M,Rugby,FRA,1
Arthur B. J. Norris,1900,M,Tennis,GBR,2
mile Pierre Sarrade,1900,M,Tug-Of-War,FRA,1
Jean Collas,1900,M,Tug-Of-War,FRA,1
William Hayden Wright,1900,M,Polo,USA,1
Johannes Drost,1900,M,Swimming,NED,1
Joseph Godfrey Wallis,1900,M,Rugby,GBR,1
"Antonius Hubertus Maria ""Antoine"" Bouwens",1900,M,Shooting,NED,1
mile Grumiaux,1900,M,Archery,FRA,1
douard Mantois,1900,M,Sailing,FRA,1
Johannes Hester Lambertus Terwogt,1900,M,Rowing,NED,1
Dominique Maximien Gardres,1900,M,Equestrianism,FRA,1
"Reginald Frank ""Reggie"" Doherty",1900,M,Tennis,GBR,3
"Joseph Augustin ""Auguste"" Donny",1900,M,Sailing,FRA,1
Joseph Adolphe Thophile Olivier,1900,M,Rugby,FRA,1
Victor Fernand Hochepied,1900,M,Swimming,FRA,1
Victor Jean Marie Sonnemans,1900,M,Water Polo,BEL,1
Paoli,1900,M,Rowing,FRA,1
Jos de Amzola y Aspiza,1900,M,Basque Pelota,ESP,1
Johannes Wilhelmus Maria van Dijk,1900,M,Rowing,NED,1
"Richard ""Dick"" Sheldon",1900,M,Athletics,USA,2
"Antoine ""Erneste"" Vdrenne",1900,M,Rowing,FRA,1
douard Alphonse de Rothschild,1900,M,Polo,FRA,1
"William Joseph ""Bill"" Holland",1900,M,Athletics,USA,1
de Prunel,1900,M,Equestrianism,FRA,1
Richard Rennie Turner,1900,M,Football,GBR,1
Richard Ludwig,1900,M,Rugby,GER,1
Richard Louis Pierre Allemane,1900,M,Football,FRA,1
Victor Antoine Jules Cadet,1900,M,Swimming,FRA,1
Victor De Behr,1900,M,Water Polo,BEL,1
Victor Auguste Godinet,1900,M,Sailing,FRA,2
Dubosq,1900,M,Sailing,FRA,1
mile Henri Delchambre,1900,M,Rowing,FRA,1
Dsir Alfred Mrchez,1900,M,Water Polo,FRA,1
Dsir Alfred Mrchez,1900,M,Swimming,FRA,1
"Druart, Jr.",1900,M,Archery,BEL,1
Douglas Francis Robinson,1900,M,Cricket,GBR,1
"Josiah Calvin McCracken, Jr.",1900,M,Athletics,USA,2
Ovide Daniel Louis Henri Soubeyran,1900,M,Rowing,FRA,1
John Arthur Jarvis,1900,M,Swimming,GBR,2
John Arthur Jarvis,1900,M,Water Polo,GBR,1
Yvonne Prvost (-Boppe),1900,F,Tennis,FRA,2
John Henry Birtles,1900,M,Rugby,GBR,1
"John Onins Exley, Jr.",1900,M,Rowing,USA,1
John Nicholas,1900,M,Football,GBR,1
Willy Hofmeister,1900,M,Rugby,GER,1
John Henry Lake,1900,M,Cycling,USA,1
"John Gretton, Jr.",1900,M,Sailing,GBR,2
Ren Grandjean,1900,M,Football,FRA,1
Denis St. George Daly,1900,M,Polo,GBR,1
Ren Pierre Charles Tartara,1900,M,Swimming,FRA,1
Antonio Conte,1900,M,Fencing,ITA,1
Ren Paul Virgile Gaillard,1900,M,Football,FRA,1
Denis Raymond Basset,1900,M,Tug-Of-War,FRA,1
John Joseph Flanagan,1900,M,Athletics,USA,1
Ren Guyot,1900,M,Shooting,BEL,1
Jos Pablo Eustaquio Manuel Francisco Escandn y Barrn,1900,M,Polo,MEX,1
John Graham Hope de la Poer Beresford,1900,M,Polo,GBR,1
John Frederick McLean,1900,M,Athletics,USA,1
Jos Manuel Mara del Corazn de Jess Escandn y Barrn,1900,M,Polo,MEX,1
Dirk Boest Gips,1900,M,Shooting,NED,1
Jos Eustaquio Luis Francisco Escandn y Barrn,1900,M,Polo,MEX,1
Victor Thibault,1900,M,Archery,FRA,2
John Bray,1900,M,Athletics,USA,1
"David Connolly ""Dave"" Hall",1900,M,Athletics,USA,1
John Selwin Calverley,1900,M,Sailing,GBR,1
David Donaldson Robertson,1900,M,Golf,GBR,1
William Sullivan Gosling,1900,M,Football,GBR,1
John Francis Cregan,1900,M,Athletics,USA,1
William Wallace Anderson,1900,M,Cricket,GBR,1
"John Thomas ""Jack"" Rimmer",1900,M,Athletics,GBR,2
John Symes,1900,M,Cricket,GBR,1
John Francis Geiger,1900,M,Rowing,USA,1
William Stephens Donne,1900,M,Cricket,GBR,1
mile Hilaire Spannoghe,1900,M,Football,BEL,1
Jules Clvenot,1900,M,Water Polo,FRA,1
mile Jean-Fontaine,1900,M,Sailing,FRA,1
Robert Arnold Crawshaw,1900,M,Water Polo,GBR,1
Karl Duill,1900,M,Cycling,GER,1
Jean Chastani,1900,M,Athletics,FRA,2
Jean Collas,1900,M,Rugby,FRA,1
Henry Lon mile Deloge,1900,M,Athletics,FRA,2
Karl August Ruberl,1900,M,Swimming,AUT,2
Jean Baptiste Albert Joseph Cau,1900,M,Rowing,FRA,1
Jean De Backer,1900,M,Water Polo,BEL,1
Jean Frdric Andr Poupart de Neuflize,1900,M,Equestrianism,FRA,1
Jean Herv,1900,M,Rugby,FRA,1
mile Louis Franois Dsir Coste,1900,M,Fencing,FRA,1
Silvaine Gustave Sandras,1900,M,Gymnastics,FRA,1
Jean Justin Ren Thomas,1900,M,Shooting,FRA,1
Jean Marie Andr Prvost,1900,M,Tennis,FRA,1
Clement Pemberton Deykin,1900,M,Rugby,GBR,1
Jean Pierre Marie Joseph  De Madre De Loos,1900,M,Polo,FRA,1
Paul Probst,1900,M,Shooting,SUI,1
Claud Whittindale,1900,M,Rugby,GBR,1
"Christoffel ""Chris"" Hooijkaas",1900,M,Sailing,NED,1
Alfred Bloch,1900,M,Football,FRA,1
William Henry,1900,M,Water Polo,GBR,1
"Paulus Jan ""Paul"" Lotsij",1900,M,Rowing,NED,1
"Pauline ""Polly"" Whittier (-Iselin)",1900,F,Golf,USA,1
Chrtien Andr Waydelich,1900,M,Croquet,FRA,2
Claude Percival Buckenham,1900,M,Football,GBR,1
"Alfred ""Toby"" Rawlinson",1900,M,Polo,GBR,1
Paul Wiesner,1900,M,Sailing,GER,2
"Edwin P. ""Ed"" Hedley",1900,M,Rowing,USA,1
mile Mercier,1900,M,Archery,FRA,1
Paul Van Asbroeck,1900,M,Shooting,BEL,1
Karl Gustaf Vilhelm Staaf (Johansson-),1900,M,Tug-Of-War,SWE,1
Karl Georg Lehle,1900,M,Rowing,GER,1
mile Pierre Sarrade,1900,M,Rugby,FRA,1
Jean lie Louis Octave Guillaume Svre Amanieu Decazes et de Glucksbierg,1900,M,Sailing,FRA,1
"Robert ""Bob"" Garrett",1900,M,Athletics,USA,2
Coenraad Christiaan Hiebendaal,1900,M,Rowing,NED,1
mile Julien Champion,1900,M,Athletics,FRA,1
Richard Wilhelm Julius Krner,1900,M,Rowing,GER,1
Edmond Neefs,1900,M,Football,BEL,1
"Patrick Joseph ""Pat"" Leahy",1900,M,Athletics,GBR,2
"William John ""Bill"" Carr",1900,M,Rowing,USA,1
de Cottignon,1900,M,Sailing,FRA,1
Raymond Whittindale,1900,M,Rugby,GBR,1
Otto Wahle,1900,M,Swimming,AUT,2
Anthony Ahasuerus Hendrik Sweijs,1900,M,Shooting,NED,1
Ottokar Weise,1900,M,Sailing,GER,2
Jules Maria Adolphe Henri De Bisschop,1900,M,Rowing,BEL,1
Jules Louis Verbecke (Gaillard-),1900,M,Swimming,FRA,1
Jules Henri Bouckaert,1900,M,Rowing,FRA,1
Jules Cyrus Angelle Trinit,1900,M,Shooting,FRA,1
Edgar Lindenau Aabye,1900,M,Tug-Of-War,DEN,1
Eduard Poppe,1900,M,Rugby,GER,1
Archenoul,1900,M,Equestrianism,FRA,1
Archibald Adam Warden,1900,M,Tennis,GBR,1
Jean-Baptiste Narcisse Mimiague,1900,M,Fencing,FRA,1
Jean-Baptiste tienne August Charcot,1900,M,Sailing,FRA,2
mile Lon Fisseux,1900,M,Archery,FRA,1
Conrad Karl Rderer,1900,M,Shooting,SUI,2
Arie van der Velden,1900,M,Sailing,NED,1
Edward Hore,1900,M,Sailing,GBR,2
Constant Octave Van Langhendonck,1900,M,Equestrianism,BEL,1
Alexandre Emmanuel Pharamond,1900,M,Rugby,FRA,1
Constantin Henriquez,1900,M,Rugby,HAI,1
Paul Henri Vasseur,1900,M,Water Polo,FRA,1
Justinien Charles Xavier Clary (Bretonneau-),1900,M,Shooting,FRA,1
Paul Eugne Clestin Perquer,1900,M,Sailing,FRA,1
Otto Fickeisen,1900,M,Rowing,GER,1
Cornelius Louis Andr Roosevelt,1900,M,Rugby,USA,1
"Edward ""Ed"" Marsh",1900,M,Rowing,USA,1
Solko Johannes van den Bergh,1900,M,Shooting,NED,1
"Henry John Terry, Jr.",1900,M,Cricket,GBR,1
Olaf Emil Frydenlund,1900,M,Shooting,NOR,1
Francisco Villota y Baquiola,1900,M,Basque Pelota,ESP,1
Lucien Alexandre Baudrier,1900,M,Sailing,FRA,1
Lucien Jean Londot,1900,M,Football,BEL,1
Lucien Martinet,1900,M,Rowing,FRA,1
Lucien Paul Nol Huteau,1900,M,Football,FRA,1
Marie Victor Xavier Lardanchet,1900,M,Rugby,FRA,1
Frederick Stapleton,1900,M,Water Polo,GBR,1
Auguste Baptiste Cavadini,1900,M,Shooting,FRA,1
Gell,1900,M,Water Polo,FRA,1
Auguste Albert,1900,M,Sailing,FRA,2
Marie Maurice Jacques Alfred Sautereau,1900,M,Croquet,FRA,1
Georges douard Johin,1900,M,Croquet,FRA,2
W. Browning,1900,M,Cricket,GBR,1
Gilbert Bougnol,1900,M,Fencing,FRA,1
Walther Katzenstein,1900,M,Rowing,GER,1
Frank Henry Wilson,1900,M,Rugby,GBR,1
Frank Jay Mackey,1900,M,Polo,USA,1
Sidney John Robinson,1900,M,Athletics,GBR,3
Gustaf Fredrik Sderstrm,1900,M,Tug-Of-War,SWE,1
Carl Heinrich Goler,1900,M,Rowing,GER,1
Maurice Marie Lecoq,1900,M,Shooting,FRA,2
Tom Seeberg,1900,M,Shooting,NOR,1
Tom Eustace Burridge,1900,M,Football,GBR,1
Maurice Marie Joseph Vignerot,1900,M,Croquet,FRA,1
Maurice Macaire,1900,M,Football,FRA,1
Anders Peter Nielsen,1900,M,Shooting,DEN,3
Walter Meijer Timmerman Thijssen,1900,M,Rowing,NED,1
Luc Henri Herv Guy Gardye de la Chapelle,1900,M,Tennis,FRA,1
Walter Beardsley Tewksbury,1900,M,Athletics,USA,5
Gaston Frdric Blanchy,1900,M,Sailing,FRA,2
Texier II,1900,M,Sailing,FRA,2
Georges Joseph Lumpp,1900,M,Rowing,FRA,1
"Carl Oscar Goler, II",1900,M,Rowing,GER,1
Gaston Peltier,1900,M,Football,FRA,1
Montagu Henry Toller,1900,M,Cricket,GBR,1
Walter Mathers Rutherford,1900,M,Golf,GBR,1
Maxime Ren Waleff,1900,M,Rowing,FRA,1
Georges Lambert Casimir Nagelmackers,1900,M,Equestrianism,BEL,1
Louis Verrant Gabriel Le Bailly de la Falaise,1900,M,Fencing,FRA,1
Zoltn Imre dn von Halmay,1900,M,Swimming,HUN,3
"Maxime Omer Mathieu ""Max"" Omer-Dcugis",1900,M,Tennis,FRA,1
Georges Lucien Dmanet,1900,M,Gymnastics,FRA,1
Georges Pelgrims,1900,M,Football,BEL,1
Georges Robert Flix Constant Leuillieux,1900,M,Swimming,FRA,1
Georges Romas,1900,M,Water Polo,BEL,1
Max Otto Hainle,1900,M,Swimming,GER,1
Harold Segerson Mahony,1900,M,Tennis,GBR,3
Georges Van Der Poele,1900,M,Equestrianism,BEL,2
Max Heinrich Ammermann,1900,M,Rowing,GER,1
"Francis Charles ""Frank"" Bayliss",1900,M,Rugby,GBR,1
Basil Spalding de Garmendia,1900,M,Tennis,USA,1
Francis Henriquez de Zubira,1900,M,Tug-Of-War,COL,1
Mathias Joseph Ferdinand Jules Henri Mialaret,1900,M,Sailing,FRA,2
Francis Romulus Burchell,1900,M,Cricket,GBR,1
Frank Olof Odberg,1900,M,Rowing,BEL,1
Gustav Ludwig Goler,1900,M,Rowing,GER,1
Maurice Louis Hochepied,1900,M,Swimming,FRA,1
Maurice Justin Verdonck,1900,M,Rowing,BEL,1
Adolf Mller,1900,M,Rowing,GER,1
Franz Krwerath,1900,M,Rowing,GER,1
Mortimer Henri Robert Fournier-Sarlovze,1900,M,Polo,FRA,1
"Henry Jean Guy ""Jean-Guy"" Gautier",1900,M,Rugby,FRA,1
Frdric Adolphe Petit,1900,M,Archery,FRA,2
Georg Naue,1900,M,Sailing,GER,2
Marcel Jacques Amand Romain Boulenger,1900,M,Fencing,FRA,1
Marcel Lambert,1900,M,Football,FRA,1
Marcel Leboutte,1900,M,Football,BEL,1
Marcel Lucien Charles Van Crombrugge,1900,M,Rowing,BEL,1
Marcel Meran,1900,M,Sailing,FRA,2
Franz Bckli,1900,M,Shooting,SUI,1
H. MacHenry,1900,M,Sailing,USA,1
"Frederick Claude Vivian ""Fred"" Lane",1900,M,Swimming,AUS,2
Adolphe Gaston Ragueneau,1900,M,Athletics,FRA,1
Rudolf (-Rezs) Bauer,1900,M,Athletics,HUN,1
Gerard Theodor Hubert Van Innis,1900,M,Archery,BEL,4
Adolf Stockhausen,1900,M,Rugby,GER,1
Frederick Agnew Gill,1900,M,Polo,GBR,1
Walter Selby Buckmaster,1900,M,Polo,GBR,1
"Gerhard Oswald ""Geert"" Lotsij",1900,M,Rowing,NED,1
Margaret Ives Abbott (-Dunne),1900,F,Golf,USA,1
"Frederick Charles Maitland ""Freddie"" Freake",1900,M,Polo,GBR,1
Gustav-Adolf Moths,1900,M,Rowing,GER,1
H. F. Roques,1900,M,Cricket,FRA,1
Franz Albert Amrhein,1900,M,Rugby,GER,1
Frantiek Janda-Suk,1900,M,Athletics,BOH,1
Camelin,1900,M,Water Polo,FRA,1
Frank Washington Jarvis,1900,M,Athletics,USA,1
Maurice Eugne Fraysse,1900,M,Football,FRA,1
Maurice Constant Maria Hemelsoet,1900,M,Rowing,BEL,1
"Frederick George ""Fred"" Spackman",1900,M,Football,GBR,1
August Nilsson,1900,M,Tug-Of-War,SWE,1
M. L. Logan,1900,M,Rugby,GBR,1
M. W. Talbott,1900,M,Rugby,GBR,1
Georg Wenderoth,1900,M,Rugby,GER,1
Nicolas Achille Paroche,1900,M,Shooting,FRA,4
Walter Middelberg,1900,M,Rowing,NED,1
R. Duparc,1900,M,Football,FRA,1
"Franois ""Nol"" Bas",1900,M,Gymnastics,FRA,1
Hans Latscha,1900,M,Rugby,GER,1
Franois Alexandre mile Billard,1900,M,Sailing,FRA,1
August Friedrich Christian Schmierer,1900,M,Rugby,GER,1
Franois Antoine Brandt,1900,M,Rowing,NED,2
